teks_bersih,kategori,urgensi,instansi
pak ada kasus meningitis di kampung kami 3 orang udah masuk icu harap segera ada tindakan,kesehatan,sangat_urgen,Dinas Kesehatan
bu sertifikat tanah saya ga kunjung kelar udah setaun nunggu harap segera ada tindakan,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
bu ijazah anak ditahan sekolah karena masalah administrasi harap segera ada tindakan,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
pengaduan: rel kereta ga ada pagarnya udah ada yang ketabrak minggu lalu,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
puskesmas pembantu tutup ga ada tenaga kesehatan sama sekali,kesehatan,urgen,Dinas Kesehatan
knalpot brong di jalanan bikin bising ganggu ketenangan warga minta tolong banget,keamanan,biasa,Satuan Polisi Pamong Praja
lampu merah di perempatan rusak rawan kecelakaan,infrastruktur,urgen,Dinas Pekerjaan Umum
jalan desa kami berlubang-lubang parah apalagi musim hujan kapan diselesaikan,infrastruktur,urgen,Dinas Pekerjaan Umum
pasar tradisional sampahnya numpuk bau amis kemana mana,kebersihan,urgen,Dinas Lingkungan Hidup
mohon salut sama kerja keras pak lurah kami mohon ditindak,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
dokter puskesmas sering bolos pasien numpuk ga ada yang meriksa,kesehatan,urgen,Dinas Kesehatan
laporan: jalan kampung kami belum diaspal becek banget kalo ujan,infrastruktur,urgen,Dinas Pekerjaan Umum
mau lapor nih imunisasi anak di kelurahan kami ga jalan udah berbulan bulan tolong cepet ditangani,kesehatan,urgen,Dinas Kesehatan
laporan: drainase mampet banjir tiap hujan deras mohon ditindak,infrastruktur,urgen,Dinas Pekerjaan Umum
pengaduan: ada ancaman bom di pasar warga pada lari,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
pengaduan: imunisasi anak di kelurahan kami ga jalan udah berbulan bulan tolong cepet ditangani,kesehatan,urgen,Dinas Kesehatan
halo pemda jam buka puskesmas sering ga sesuai jadwal segera ya pak,kesehatan,biasa,Dinas Kesehatan
jam buka puskesmas sering ga sesuai jadwal,kesehatan,biasa,Dinas Kesehatan
halo pemda sungai butek item bau warga banyak yang kena penyakit kulit segera ya pak,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
bu ada pedagang yang jualan di badan jalan bahayain pengendara udah lama nih,keamanan,biasa,Satuan Polisi Pamong Praja
penerangan jalan umum di jalan protokol banyak yang mati mohon ditindak,infrastruktur,urgen,Dinas Pekerjaan Umum
mohon jembatan retak parah goyang kalo dilewati truk,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
pasien rujukan ditolak rs tanpa alasan yang jelas,kesehatan,urgen,Dinas Kesehatan
trotoar depan pasar rusak parah orang sering kesandung minta tolong banget,infrastruktur,urgen,Dinas Pekerjaan Umum
bu saluran irigasi sawah bocor petani rugi terus harap segera ada tindakan,infrastruktur,urgen,Dinas Pekerjaan Umum
info jadwal dokter di puskesmas ga pernah diupdate harap segera ada tindakan,kesehatan,biasa,Dinas Kesehatan
mau lapor nih pkl di trotoar bikin macet dan ganggu lalu lintas kami banget terganggu,keamanan,biasa,Satuan Polisi Pamong Praja
tolong begal bunuh pengendara motor tadi malem di jalan gelap deket desa kami udah lama nih,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
lingkungan rt kurang bersih perlu kerja bakti,kebersihan,biasa,Dinas Lingkungan Hidup
tiang listrik mau roboh nih nempel ke pohon rawan banget kena angin,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
halo pemda lampu jalan di gang kami mati udah 2 minggu gelap bgt malem mohon ditindak,infrastruktur,urgen,Dinas Pekerjaan Umum
tolong sungai kecil belakang perumahan penuh sampah bau busuk segera ya pak,kebersihan,urgen,Dinas Lingkungan Hidup
pak tps liar di pinggir jalan numpuk ga pernah diangkut nyamuk banyak udah lama nih,kebersihan,urgen,Dinas Lingkungan Hidup
tolong knalpot brong di jalanan bikin bising ganggu ketenangan warga kami sangat terganggu,keamanan,biasa,Satuan Polisi Pamong Praja
wabah diare menyebar di desa kami udah 20 orang kena termasuk balita kapan diselesaikan,kesehatan,sangat_urgen,Dinas Kesehatan
halo pemda formulir pendaftaran di kelurahan susah didapat mohon ditindak,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
pengaduan: ada pembuangan limbah ilegal di dekat sekolah baunya menyengat segera ya pak,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
pengaduan: bayi gizi buruk parah di desa kami butuh bantuan segera udah lama nih,kesehatan,sangat_urgen,Dinas Kesehatan
bu ktp saya udah 5 bulan blm jadi padahal semua syarat udah lengkap harap segera ada tindakan,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
ada kasus meningitis di kampung kami 3 orang udah masuk icu minta tolong banget,kesehatan,sangat_urgen,Dinas Kesehatan
cat jembatan udah kusam perlu dicat ulang,infrastruktur,biasa,Dinas Pekerjaan Umum
bahu jalan agak rusak butuh perbaikan,infrastruktur,biasa,Dinas Pekerjaan Umum
kasus pencurian di komplek kami makin sering ga ada ronda,keamanan,urgen,Satuan Polisi Pamong Praja
mohon sungai kecil belakang perumahan penuh sampah bau busuk segera ya pak,kebersihan,urgen,Dinas Lingkungan Hidup
pengaduan: penerangan jalan minim banget malem gelap gulita rawan kejahatan kapan diselesaikan,keamanan,urgen,Satuan Polisi Pamong Praja
halo pemda ada kasus tbc menyebar di lingkungan padat penduduk butuh penanganan cepat mohon ditindak,kesehatan,sangat_urgen,Dinas Kesehatan
bangunan liar di lahan fasilitas umum ga ada penertiban minta tolong banget,keamanan,biasa,Satuan Polisi Pamong Praja
loket pendaftaran puskesmas prosesnya lama banget,kesehatan,biasa,Dinas Kesehatan
pelayanan di kecamatan lama banget bisa nunggu sampe sore,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mohon cat marka jalan udah pudar ga keliatan,infrastruktur,biasa,Dinas Pekerjaan Umum
laporan: bansos ga tepat sasaran tetangga saya mampu dapat saya yang susah malah ga dapat minta tolong banget,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mohon air pdam berasa aneh bau ga layak minum,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
remaja di bawah umur terlibat tawuran bawa celurit ada yang masuk ugd,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
sampah berserakan di depan minimarket ga ada yang bersihin,kebersihan,biasa,Dinas Lingkungan Hidup
pak sampah berserakan di depan minimarket ga ada yang bersihin,kebersihan,biasa,Dinas Lingkungan Hidup
papan pengumuman di kantor kelurahan jarang diupdate,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
halte bus atapnya bocor ujan masuk,infrastruktur,biasa,Dinas Pekerjaan Umum
pengaduan: ada penembakan di daerah kami warga panik ga berani keluar rumah,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
tolong sktm buat daftar sekolah ga bisa didapat harus nyogok dulu mohon ditindak,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
halo pemda selokan penuh sampah plastik air meluap ke jalan kapan diselesaikan,kebersihan,urgen,Dinas Lingkungan Hidup
pak konflik warga udah berlangsung lama belum ada penyelesaian dari aparat minta tolong banget,keamanan,urgen,Satuan Polisi Pamong Praja
halo pemda gorong gorong jebol jalan ambles dalam banget berbahaya kami bgt terganggu,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
wabah dbd menyebar cepet udah 5 orang di rt kami positif harap segera ada tindakan,kesehatan,sangat_urgen,Dinas Kesehatan
laporan: jalan masuk komplek rusak parah susah dilalui motor minta tolong banget,infrastruktur,urgen,Dinas Pekerjaan Umum
lingkungan kami sekarang udah bersih makasih petugas kebersihan tolong cepet ditangani,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
pak got depan rumah mampet banjir kecil tiap hujan kami sangat terganggu,infrastruktur,urgen,Dinas Pekerjaan Umum
ada yang buang bangkai hewan di lahan kosong bau busuk minta ampun kami banget terganggu,kebersihan,urgen,Dinas Lingkungan Hidup
tolong limbah pabrik dibuang ke kali sumber air minum warga udah pada mual segera ya pak,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
mau lapor nih jalan longsor nutup akses ke 3 desa warga ga bisa kemana mana,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
bu ambulans desa rusak ga bisa dipake warga ada yang sakit parah,kesehatan,sangat_urgen,Dinas Kesehatan
pengaduan: ada pembuangan limbah ilegal di dekat sekolah baunya menyengat kami bgt terganggu,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
ruangan pelayanan dukcapil kurang nyaman ga ada ac,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
tempat sampah di taman rusak perlu diganti,kebersihan,biasa,Dinas Lingkungan Hidup
mau lapor nih pasien kritis ditolak igd rs daerah katanya penuh padahal darurat tolong cepet ditangani,kesehatan,sangat_urgen,Dinas Kesehatan
