teks_bersih,kategori,urgensi,instansi
pak wabah campak menyebar di sekolah dasar puluhan anak kena tolong diperhatikan,kesehatan,sangat_urgen,Dinas Kesehatan
selamat pagi mau lapor sampah medis bekas jarum suntik berserakan di taman bermain anak,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
kepada yth pemda cat jembatan udah kusam perlu dicat ulang minta tolong banget,infrastruktur,biasa,Dinas Pekerjaan Umum
ada keluhan nih got depan pasar tersumbat sampah banjir pas hujan mohon perhatiannya,kebersihan,urgen,Dinas Lingkungan Hidup
pak jembatan di desa kami putus total ga bisa dilewati sama sekali kami tunggu tindakannya,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
laporan: krcunan masal kntin sklh bnyk anak mth tolong cepet,kesehatan,sangat_urgen,Dinas Kesehatan
selamat pagi mau lapor lampu taman di alun alun beberapa yang mati tolong dong,infrastruktur,biasa,Dinas Pekerjaan Umum
tumpukan sampah terbakar asapnya tebal masuk ke rumah warga sesak napas,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
dengan hormat pos ronda di rt kami sudah rusak perlu diperbaiki kapan ada solusinya,infrastruktur,biasa,Dinas Pekerjaan Umum
ada orang gila mengamuk bawa parang ancam warga sekitar,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
permisi mau lapor stok vaksin di puskesmas habis imunisasi bayi tertunda kapan ada solusinya,kesehatan,urgen,Dinas Kesehatan
laporan: tiang listrik mau roboh nempel ke pohon rawan banget kena angin,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
minta tolong pembuangan sampah ilegal di pinggir sawah menggunung udah lama nih,kebersihan,urgen,Dinas Lingkungan Hidup
ada keluhan nih loket pelayanan ktp cuma buka sampai jam 11 terlalu singkat kami tunggu tindakannya,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
masyarakat membuang sampah ke sungai setiap malam mencemari air cepet ya pak,kebersihan,urgen,Dinas Lingkungan Hidup
mau lapor nih pengurusan izin mendirikan bangunan sdh setahun tidak selesai kami tunggu tindakannya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
perampok bersenjata masuk ke rumah warga tadi malam tolong dong,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
pak jln prvnsi ambrol lngsor aks kota pts minta tolong,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
halo pemda gorong gorong di bawah jalan tersumbat air meluap ke jalan kami sangat terganggu,infrastruktur,urgen,Dinas Pekerjaan Umum
ada keluhan nih tempat hiburan malam berisik ganggu warga sekitar tiap malam minggu segera ya pak,keamanan,biasa,Satuan Polisi Pamong Praja
laporan: krcunan air mnum bnyk yg mul mth minta tolong,kesehatan,sangat_urgen,Dinas Kesehatan
tolong lmbh kmia ngalir ke swh tnaman mati,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
pengaduan: loket pelayanan ktp cuma buka sampai jam 11 terlalu singkat kapan ada solusinya,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
minta tolong lampu di taman kota mati beberapa titik terima kasih semasih belumnya,infrastruktur,biasa,Dinas Pekerjaan Umum
dengan hormat pengumuman kegiatan kelurahan sering terlambat disampaikan ke warga warga resah ini,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
halo pemda ada oknum yang sering mengintai rumah warga di malam hari mencurigakan mohon ditindak,keamanan,urgen,Satuan Polisi Pamong Praja
tolong talud sungai retak retak rawan jebol saat banjir tolong dong,infrastruktur,urgen,Dinas Pekerjaan Umum
pengaduan: air pdam berasa aneh bau ga layak minum warga takut konsumsi warga resah ini,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
pengaduan: penipuan berkedok arisan online makan banyak korban di kelurahan kami kami tunggu tindakannya,keamanan,urgen,Satuan Polisi Pamong Praja
permisi mau lapor akta kelahiran anak susah banget diurusnya syaratnya berbelit belit,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
permisi mau lapor cat jembatan udah kusam perlu dicat ulang tolong dong,infrastruktur,biasa,Dinas Pekerjaan Umum
bangunan liar di lahan fasilitas umum ga ada penertiban,keamanan,biasa,Satuan Polisi Pamong Praja
minta tolong lampu taman di alun alun beberapa yang mati tolong cepet ditangani,infrastruktur,biasa,Dinas Pekerjaan Umum
halo selamat siang taman kota kotor banyak sampah dedaunan,kebersihan,biasa,Dinas Lingkungan Hidup
permisi mau lapor pkl di trotoar bikin macet dan ganggu lalu lintas kami sangat terganggu,keamanan,biasa,Satuan Polisi Pamong Praja
selamat pagi mau lapor ada oknum yang sering mengintai rumah warga di malam hari mencurigakan udah lama nih,keamanan,urgen,Satuan Polisi Pamong Praja
mbak pak rt kami aktif banget ngurus warga mantap jiwa kapan ada solusinya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
laporan: gorong gorong di bawah jalan tersumbat air meluap ke jalan,infrastruktur,urgen,Dinas Pekerjaan Umum
halo selamat siang pagar pembatas jalan agak miring perlu dibenerin minta perhatiannya,infrastruktur,biasa,Dinas Pekerjaan Umum
kepada yth pemda got meluap banjir masuk rumah warga udah setinggi lutut segera ya pak,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
mbak program kb di puskesmas kami terhenti karena kekurangan petugas mohon perhatiannya,kesehatan,urgen,Dinas Kesehatan
terimakasih sudah pasang lampu jalan di gang kami tolong cepet ditangani,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
pengaduan: lampu jalan di gang kami mati udah 2 minggu gelap bgt malem terima kasih sebelumnya,infrastruktur,urgen,Dinas Pekerjaan Umum
halo pemda jalan provinsi ambrol kena longsor akses kota putus total,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
sampah plastik bejibun berserakan di pinggir kali tolong cepet ditangani,kebersihan,biasa,Dinas Lingkungan Hidup
ada keluhan nih tempat parkir rs daerah kurang luas sering penuh kami tunggu tindakannya,kesehatan,biasa,Dinas Kesehatan
dengan hormat urus izin usaha kecil dipersulit minta biaya yang ga jelas warga resah ini,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
plang nama gang kami copot perlu dipasang lagi harap segera ada tindakan,infrastruktur,biasa,Dinas Pekerjaan Umum
tolong tawuran pakai senjata tajam ada korban luka parah butuh penanganan segera segera ya pak,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
mbak info jadwal dokter di puskesmas ga pernah diupdate,kesehatan,biasa,Dinas Kesehatan
bu ruangan pelayanan dukcapil kurang nyaman ga ada ac mohon ditindak,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
mbak stok vaksin di puskesmas habis imunisasi bayi tertunda udah lama nih,kesehatan,urgen,Dinas Kesehatan
pak ada tambang ilegal beroperasi di wilayah kami merusak lingkungan,keamanan,urgen,Satuan Polisi Pamong Praja
ada warga yang buang sampah di lahan kosong depan rumah kami,kebersihan,biasa,Dinas Lingkungan Hidup
